,default,data_uid,duration_in_month,credit_amount,Balance,Payment_Delay,installment_as_income_perc,age,States,Zipcode,Date,GDP,purpose_da,purpose_car,purpose_rep,purpose_bns,purpose_vac,purpose_edu,personal_status_sex_male,personal_status_sex_female,other_debtors_gnt,savings_.. >= 1000 DM ,savings_... < 100 DM,savings_100 <= ... < 500 DM,savings_500 <= ... < 1000 DM ,savings_unknown/ no savings account,present_emp_since_.. >= 7 years,present_emp_since_... < 1 year ,present_emp_since_1 <= ... < 4 years,present_emp_since_4 <= ... < 7 years,present_emp_since_unemployed,property_if not A121 : building society savings agreement/ life insurance,"property_if not A121/A122 : car or other, not in attribute 6",property_real estate,property_unknown / no property,other_installment_plans_bank,other_installment_plans_none,other_installment_plans_stores,housing_for free,housing_own,housing_rent,job_management/ self-employed/ highly qualified employee/ officer,job_skilled employee / official,job_unemployed/ unskilled - non-resident,job_unskilled - resident,foreign_worker_no,foreign_worker_yes
512,0,prj01-ds01-raw-0000513,15,2687,1290,0,2,26,Arizona,85001,5/19/2013,1.64,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
901,0,prj01-ds01-raw-0000902,20,3485,1847,0,2,44,North Dakota,58103,6/8/2015,0.28,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
800,0,prj01-ds01-raw-0000801,24,1597,846,1,4,54,Ohio,43002,4/14/2011,3.39,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
491,1,prj01-ds01-raw-0000492,27,8318,4575,3,2,42,New York,10001,4/5/2011,8.06,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
69,0,prj01-ds01-raw-0000070,36,2394,1149,0,4,25,Louisiana,70001,1/6/2012,1.27,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
947,0,prj01-ds01-raw-0000948,12,2859,1372,0,4,38,New Hampshire,3031,8/2/2013,0.42,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
796,1,prj01-ds01-raw-0000797,18,7511,4131,2,1,51,New Mexico,87001,11/4/2011,0.51,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
725,0,prj01-ds01-raw-0000726,6,250,133,0,2,41,Hawaii,96701,3/19/2016,0.45,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
809,1,prj01-ds01-raw-0000810,15,1778,978,2,2,26,Utah,84101,8/6/2014,0.85,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
773,0,prj01-ds01-raw-0000774,24,2223,1178,2,4,52,District of Columbia,20001,11/17/2014,0.69,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
215,0,prj01-ds01-raw-0000216,6,932,494,0,1,39,Hawaii,96701,6/18/2012,0.45,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
128,0,prj01-ds01-raw-0000129,12,1860,986,1,4,34,Montana,59801,10/29/2013,0.25,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
977,0,prj01-ds01-raw-0000978,18,2427,971,2,4,42,District of Columbia,20001,12/2/2010,0.69,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
871,0,prj01-ds01-raw-0000872,6,1343,712,0,1,46,California,90001,12/14/2012,14.1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
30,0,prj01-ds01-raw-0000031,18,1913,918,0,3,36,New Jersey,7002,2/17/2011,3.15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
967,0,prj01-ds01-raw-0000968,15,3568,1713,0,4,54,Wisconsin,53001,5/11/2013,1.68,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
357,1,prj01-ds01-raw-0000358,36,4463,2678,4,4,26,Alabama,35007,10/6/2016,1.11,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
494,0,prj01-ds01-raw-0000495,12,2122,1125,0,3,39,Ohio,43002,7/25/2013,3.39,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
454,1,prj01-ds01-raw-0000455,24,4817,2649,3,2,31,Virginia,20103,1/15/2012,2.68,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
410,0,prj01-ds01-raw-0000411,24,1967,944,1,4,20,Arizona,85001,12/14/2014,1.64,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
686,0,prj01-ds01-raw-0000687,10,1347,714,0,4,27,Minnesota,55001,7/28/2013,1.82,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
467,0,prj01-ds01-raw-0000468,48,7238,2895,4,3,32,District of Columbia,20001,7/13/2016,0.69,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
32,0,prj01-ds01-raw-0000033,18,5866,2816,1,2,30,New York,10001,9/1/2010,8.06,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
170,1,prj01-ds01-raw-0000171,15,950,523,5,4,33,Kentucky,40003,12/24/2016,1.07,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
525,0,prj01-ds01-raw-0000526,26,7966,3824,0,2,30,Iowa,50001,1/3/2015,0.97,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
48,0,prj01-ds01-raw-0000049,11,7228,3831,1,1,39,West Virginia,24811,5/4/2010,0.4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
335,1,prj01-ds01-raw-0000336,6,3384,1861,2,1,44,New Hampshire,3031,7/2/2014,0.42,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
981,1,prj01-ds01-raw-0000982,48,4844,2180,4,3,33,Idaho,83201,8/12/2015,0.36,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
136,0,prj01-ds01-raw-0000137,27,8613,3445,3,2,27,North Dakota,58103,10/26/2014,0.28,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
305,0,prj01-ds01-raw-0000306,6,1543,741,0,4,33,Wyoming,82601,2/20/2015,0.21,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
490,0,prj01-ds01-raw-0000491,12,1934,1025,0,2,26,New Mexico,87001,8/17/2012,0.51,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
309,0,prj01-ds01-raw-0000310,9,276,132,0,4,22,Arkansas,71630,3/9/2013,0.65,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
892,0,prj01-ds01-raw-0000893,12,2171,1151,1,4,38,Missouri,63102,8/23/2014,1.63,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
964,0,prj01-ds01-raw-0000965,6,454,218,0,3,22,Virginia,20103,12/18/2011,2.68,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
403,0,prj01-ds01-raw-0000404,14,802,321,2,4,27,Virginia,20103,12/21/2010,2.68,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
399,0,prj01-ds01-raw-0000400,24,1516,803,1,4,43,Tennessee,37010,7/21/2012,1.78,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
297,0,prj01-ds01-raw-0000298,10,1287,618,0,4,45,Tennessee,37010,5/8/2013,1.78,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
79,0,prj01-ds01-raw-0000080,30,3832,1839,0,2,22,Nevada,89001,2/28/2015,0.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
605,0,prj01-ds01-raw-0000606,24,2828,1273,0,4,22,Utah,84101,6/30/2015,0.85,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
442,0,prj01-ds01-raw-0000443,20,2629,1052,2,2,29,North Dakota,58103,1/5/2010,0.28,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
530,0,prj01-ds01-raw-0000531,36,2273,1091,0,3,32,Maryland,20601,10/12/2015,2.05,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
928,0,prj01-ds01-raw-0000929,30,1867,896,0,4,58,Georgia,30002,10/17/2010,2.85,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
302,1,prj01-ds01-raw-0000303,24,1344,739,4,4,37,Washington,98001,2/27/2016,2.55,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
702,0,prj01-ds01-raw-0000703,24,1377,661,0,4,47,Rhode Island,2801,10/10/2010,0.31,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
479,0,prj01-ds01-raw-0000480,15,1478,783,0,4,44,Maryland,20601,10/22/2016,2.05,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
926,0,prj01-ds01-raw-0000927,18,1049,556,1,4,21,District of Columbia,20001,1/1/2016,0.69,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
517,1,prj01-ds01-raw-0000518,36,7127,3920,4,2,23,Delaware,19706,3/22/2013,0.38,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
754,1,prj01-ds01-raw-0000755,12,1555,933,2,4,55,South Carolina,29401,6/13/2016,1.14,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
417,0,prj01-ds01-raw-0000418,18,8471,3388,2,1,23,Florida,32004,11/26/2014,5.02,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
783,1,prj01-ds01-raw-0000784,12,836,460,2,4,23,Louisiana,70001,3/15/2014,1.27,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
520,0,prj01-ds01-raw-0000521,24,5507,2919,1,3,44,Georgia,30002,11/19/2013,2.85,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
107,0,prj01-ds01-raw-0000108,12,6078,2917,0,2,32,Colorado,80019,8/21/2016,1.75,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
693,0,prj01-ds01-raw-0000694,6,4716,2499,0,1,44,New Jersey,7002,6/24/2016,3.15,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
155,1,prj01-ds01-raw-0000156,12,1282,703,1,2,20,Arizona,85001,4/16/2011,1.64,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
935,1,prj01-ds01-raw-0000936,30,1919,1151,3,4,30,Kentucky,40003,4/26/2012,1.07,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
142,0,prj01-ds01-raw-0000143,27,3416,1640,0,3,27,South Carolina,29401,9/7/2012,1.14,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
758,0,prj01-ds01-raw-0000759,24,1393,669,0,2,31,Utah,84101,6/11/2013,0.85,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
451,0,prj01-ds01-raw-0000452,6,3518,1689,0,3,29,Texas,73301,11/1/2015,8.76,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
148,0,prj01-ds01-raw-0000149,36,5371,2847,2,3,28,Virginia,20103,11/11/2012,2.68,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
191,1,prj01-ds01-raw-0000192,48,3844,2114,2,4,34,Pennsylvania,15005,10/28/2014,3.93,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
56,1,prj01-ds01-raw-0000057,12,6468,2865,1,2,52,Colorado,80019,1/15/2010,1.75,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
4,1,prj01-ds01-raw-0000005,24,4870,2922,3,3,53,California,90001,10/5/2011,14.1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
18,1,prj01-ds01-raw-0000019,24,12579,7253,3,4,44,Louisiana,70001,9/26/2013,1.27,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
566,1,prj01-ds01-raw-0000567,12,1372,755,1,2,36,Colorado,80019,5/6/2012,1.75,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
363,0,prj01-ds01-raw-0000364,6,1766,848,0,1,21,Connecticut,6001,3/3/2016,1.43,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
389,0,prj01-ds01-raw-0000390,9,1449,696,0,3,27,New York,10001,10/16/2011,8.06,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
805,1,prj01-ds01-raw-0000806,36,9271,5099,4,2,24,South Carolina,29401,3/11/2011,1.14,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
325,0,prj01-ds01-raw-0000326,8,3398,1801,0,1,39,Maine,3901,1/31/2012,0.32,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
444,1,prj01-ds01-raw-0000445,48,5096,2803,5,2,30,Oklahoma,73001,3/27/2015,0.99,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
25,0,prj01-ds01-raw-0000026,6,1374,660,0,1,36,Missouri,63102,6/6/2010,1.63,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
131,1,prj01-ds01-raw-0000132,36,6887,4132,3,4,29,New Hampshire,3031,4/13/2013,0.42,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
347,0,prj01-ds01-raw-0000348,24,3758,1804,0,1,23,South Dakota,57117,12/19/2011,0.26,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
193,0,prj01-ds01-raw-0000194,6,2108,1012,0,2,29,South Carolina,29401,8/16/2012,1.14,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
526,0,prj01-ds01-raw-0000527,15,1532,812,1,4,31,Kansas,66104,1/11/2013,0.83,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
474,1,prj01-ds01-raw-0000475,18,1245,685,3,4,33,Iowa,50001,2/11/2014,0.97,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
720,1,prj01-ds01-raw-0000721,9,1337,735,2,4,34,Connecticut,6001,7/28/2013,1.43,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
149,0,prj01-ds01-raw-0000150,18,1582,838,1,4,46,Washington,98001,2/3/2011,2.55,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
997,0,prj01-ds01-raw-0000998,12,804,386,0,4,38,Nevada,89001,2/9/2012,0.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
320,1,prj01-ds01-raw-0000321,30,4249,2337,4,4,28,Indiana,46001,4/29/2012,1.85,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
992,0,prj01-ds01-raw-0000993,18,1936,929,0,2,23,Minnesota,55001,4/14/2012,1.82,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
312,0,prj01-ds01-raw-0000313,24,3749,1800,0,2,26,Connecticut,6001,8/16/2014,1.43,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
201,0,prj01-ds01-raw-0000202,12,1168,561,0,4,27,West Virginia,24811,4/12/2015,0.4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
554,0,prj01-ds01-raw-0000555,9,1199,576,0,4,67,Utah,84101,8/10/2012,0.85,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
400,0,prj01-ds01-raw-0000401,18,1473,707,0,3,39,Texas,73301,10/8/2016,8.76,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
199,1,prj01-ds01-raw-0000200,18,4297,2578,2,4,40,Virginia,20103,6/2/2013,2.68,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
117,0,prj01-ds01-raw-0000118,10,2132,1130,0,2,27,Iowa,50001,3/12/2012,0.97,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
855,0,prj01-ds01-raw-0000856,24,1474,708,0,4,33,Rhode Island,2801,11/4/2015,0.31,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
778,0,prj01-ds01-raw-0000779,36,5711,3027,2,4,38,Illinois,60002,3/31/2015,4.29,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
277,0,prj01-ds01-raw-0000278,12,1262,606,0,2,49,Michigan,48002,4/3/2014,2.64,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
448,0,prj01-ds01-raw-0000449,12,1424,684,0,3,55,South Carolina,29401,6/19/2011,1.14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
393,0,prj01-ds01-raw-0000394,6,1957,1037,0,1,31,Oklahoma,73001,12/12/2011,0.99,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
89,1,prj01-ds01-raw-0000090,12,1108,609,2,4,28,Pennsylvania,15005,12/8/2010,3.93,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
15,1,prj01-ds01-raw-0000016,24,1282,884,3,4,32,Iowa,50001,10/24/2013,0.97,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
74,1,prj01-ds01-raw-0000075,36,1977,987,5,4,40,Minnesota,55001,4/3/2016,1.82,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
408,0,prj01-ds01-raw-0000409,24,3235,1553,0,3,26,Alabama,35007,2/25/2012,1.11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
719,0,prj01-ds01-raw-0000720,20,6148,2767,1,3,31,Colorado,80019,9/17/2013,1.75,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
62,1,prj01-ds01-raw-0000063,36,1953,1074,3,4,61,Hawaii,96701,10/11/2015,0.45,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
